biomarker_id	biomarker	assessed_biomarker_entity	assessed_biomarker_entity_id	assessed_entity_type	condition	condition_id	exposure_agent	exposure_agent_id	best_biomarker_role	specimen	specimen_id	loinc_code	evidence_source	evidence	tag	vocab_pattern	biomarker_controlled_vocab	component_group	flags
AN6278-1	increased IL6 level	Interleukin-6	UPKB:P05231	protein	prostate cancer	DOID:10283			prognostic	blood	UBERON:0000178	26881-3	PubMed:10914713	Univariate analysis of all patients demonstrated that an extent of disease (EOD) on bone scanning > or = 1, IL-6 > or = 7 pg/ml, PS > or = 1, PSA > 100 ng/ml, and ALP > 620 IU/liter were associated with a significantly lower survival rate than their respective counterparts. In multivariate analysis, however, the only two significant prognostic factors were EOD and IL-6. These results indicate that the serum IL-6 level is a significant prognostic factor for prostate cancer as well as EOD.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202128	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32479790	IL-6 plays multifaceted roles in regulation of vascular leakage, complement activation, and coagulation pathways, which ultimately causes poor outcomes for acute respiratory distress syndrome, multiple organ dysfunction syndrome, and SARS.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32369209	Low lymphocytes, increased IL-6, CRP, PCT, D dimer, and LDH, these finds were similar to previous studies. The increase of these inflammatory indexes indicates that the infected patients were in inflammatory state, which may be closely related to the inflammatory storm. The increase of the cancer biomarkers in patients with COVID-19, especially in severe and critical patients, suggests that inflammation is closely related to the development of COVID-19.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32259560	Serial measurement of circulating IL-6 levels may be important in identifying disease progression among COVID-19-infected patients.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32428990	The decrease of IL-6 was closely related to treatment effectiveness, while the increase of IL-6 indicated disease exacerbation. Collectively, the dynamic change of IL-6 level can be used as a marker for disease monitoring in patients with severe COVID-19.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32677844	Elevated levels of IL-6, D-dimer, CRP, LDH, and ferritin all had an independent increased risk for the clinical outcomes assessed (ICU admission, invasive ventilatory support and death), which were statistically significant.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32438331	A deep network analysis has suggested clinical biomarkers predicting the higher risk of severe COVID-19 infection: Hypertension, elevated serum Alanine aminotransferase, high Interleukin-6, and low Lymphocytes count. In particular, patients with diabetes, but also those with prediabetic state, deserve special attention.;|Clinical biomarkers for chronic inflammation, in particular Interleukin-6, predict the severity of COVID-19.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32475810	C-reactive protein, serum amyloid A, interleukin-6, lactate dehydrogenase, neutrophil-to-lymphocyte ratio, D-dimer, cardiac troponin, and renal biomarkers showed significantly higher levels in patients with severe complications of COVID-19 infection compared to their non-severe counterparts.;|Since the proportionate rise of IL-6 is correlated with disease severity, this study can prove ground-breaking.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32234467	Interleukin-6 (IL-6) plays an important role in cytokine release syndrome. If it is possible to block the signal transduction pathway of IL-6, it is expected to become a new method for the treatment of severe COVID-19 patients.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
AN6278-5	increased IL6 level	Interleukin-6	UPKB:P05231	protein	COVID-19	DOID:0080600			prognostic	blood	UBERON:0000178	26881-3	PubMed:32442528	findings in this study include determining independent associations between biomarkers for inflammation (interleukin-6) and thrombosis (D-dimer) and mortality.	assessed_biomarker_entity;best_biomarker_role;biomarker;condition;specimen	change_type:increased;aspect_type:level	Increased level of protein IL6/UPKB:P05231	202129	
